feature_name,coef
"timestep@2 50882_value_(4.999, 20.0]",-0.06399608015144177
timestep@3 SpO2_mask,-0.06384728645579266
"timestep@1 RR_min_(-0.001, 14.0]",-0.06379072533431968
timestep@1 226361_value_1.0,-0.06373511472765046
"timestep@3 HR_min_(-0.001, 69.0]",-0.06373122630877308
timestep@1 223900_value_No Response,-0.06371858160297923
timestep@3 224085: 2 Person Assist_value_1.0,-0.06365026432310257
timestep@2 225059: Anemia_value_1.0,-0.06363499741257089
timestep@0 224088_value_1.0,-0.06360682527527863
timestep@2 226732: Face tent_value_1.0,-0.06359911184750511
"timestep@3 RR_mean_(-0.001, 15.0]",-0.06343875351761649
timestep@0 223794_value_Tolerable,-0.06342968038442459
timestep@1 224848_value_1.0,-0.06329296263696961
"timestep@0 226724_value_(-1.253, -0.861]",-0.06317054882741849
"timestep@0 SpO2_min_(99.0, 1000.0]",-0.06307586301582412
"timestep@0 Height_value_(-0.001, 160.0]",-0.0629167620465369
"timestep@2 220949_Rate_value_(0.192, 0.333]",-0.06283463962692654
"timestep@3 50960_value_(2.2, 33.5]",-0.0626705741045323
timestep@1 223988: Clear_value_1.0,-0.06254520488150868
"timestep@0 SysBP_min_(-0.001, 100.0]",-0.06218176670027079
"timestep@1 224161_value_(4.999, 30.0]",-0.061988696343042396
timestep@2 224930_value_1.0,-0.06182977124784393
timestep@3 226104_value_Arouse to Voice,-0.06181738467684472
timestep@0 224040: Approximated_value_1.0,-0.06161532964011159
timestep@3 223990_value_Normal,-0.06157903360225171
timestep@0 224086_value_Tolerated Well,-0.061522669017362086
timestep@1 224651_value_Rare,-0.06140918828878533
timestep@2 227969: Items within reach_value_1.0,-0.06125260613439836
"timestep@0 225129_value_(-0.001, 1.0]",-0.0612515784225461
timestep@1 225469_value_1.0,-0.061211728370906576
"timestep@1 223751_value_(160.0, 170160.03]",-0.06120561582031746
"timestep@3 RR_max_(15.0, 18.0]",-0.06118893232937182
timestep@3 226732: None_value_1.0,-0.06099763750186153
timestep@1 224005_value_Positive,-0.06080124354964585
timestep@0 225752_value_1.0,-0.06077907501893871
FIRST_WARDID_value:WARDID=23,-0.06077476052250955
timestep@0 227780_value_Dry and intact,-0.06077032032659415
timestep@2 224085: Supervised_value_1.0,-0.060759740935534726
"timestep@1 225067_value_(-0.001, 1.0]",-0.06071245068251533
timestep@1 223991: None_value_1.0,-0.06044954516698562
timestep@0 220949_value_1.0,-0.05979924181663172
MARITAL_STATUS_value:WIDOWED,-0.059795925563205767
"timestep@3 HR_value_(-0.001, 70.0]",-0.05954650820880958
"timestep@1 RR_value_(15.0, 17.0]",-0.059520873478234815
timestep@2 DiaBP_mask,-0.0594642066959756
timestep@0 227088_value_Floor,-0.059450209461879254
timestep@0 223792: Emotional Support_value_1.0,-0.058849442629438246
timestep@3 223987_value_Clear,-0.05874308689859668
timestep@3 224054_value_Slight Impairment,-0.05835252176121927
"timestep@1 Weight_value_(61.6, 72.0]",-0.05810799874407616
timestep@3 225120: Fair_value_1.0,-0.058063621270829875
"timestep@1 225118_value_(-0.001, 1.0]",-0.05794040125618361
timestep@2 SysBP_mask,-0.05782033582957837
"timestep@0 226361_Amount_value_(2500.0, 4000.0]",-0.05761709941677742
timestep@1 223782: None_value_1.0,-0.05729104629067922
"timestep@1 225754_value_(0.00674, 0.0587]",-0.05725138676421642
timestep@2 226543_value_Not specified,-0.05716554304917481
timestep@0 225097: Not assessed_value_1.0,-0.05715589088917333
timestep@0 227668_value_3 rails up,-0.0571060053216568
timestep@3 224093_value_Right Side,-0.05702881491969544
timestep@1 223784: Incisional_value_1.0,-0.05697314800458029
"timestep@3 225118_value_(-0.001, 1.0]",-0.05692770573440217
"timestep@1 225085_value_(-0.001, 1.0]",-0.0568533923247989
"timestep@2 224564_value_(-0.001, 1.0]",-0.056839456072824354
timestep@2 224055_value_Rarely Moist,-0.05683596738921796
timestep@1 224003: Soft_value_1.0,-0.0567604813943972
"timestep@2 51006_value_(12.0, 18.0]",-0.056710436389745295
"timestep@2 225158_Rate_value_(0.167, 0.283]",-0.056640735876424146
timestep@0 223795_value_Patient Verbalized,-0.05657707282533082
timestep@0 227378_value_FA6B,-0.05642157311629996
timestep@2 224003: Soft Distended_value_1.0,-0.056402132605853514
timestep@1 225811: CVA_value_1.0,-0.056353990724896656
timestep@2 223902_value_Normal,-0.05629329920660862
timestep@3 223989_value_Clear,-0.056180493999645836
timestep@2 223784: Cough/Deep Breath_value_1.0,-0.05617939712570087
"timestep@3 SpO2_min_(98.0, 99.0]",-0.05608879924470638
"timestep@2 226452_Amount_value_(9.999, 100.0]",-0.05603396965543763
"timestep@0 SysBP_max_(129.0, 145.0]",-0.056025426083069006
timestep@1 225752_value_1.0,-0.05599446797226344
timestep@1 224848: Not assessed_value_1.0,-0.05580370251639179
"timestep@0 223770_value_(92.0, 90100.0]",-0.05558945356608768
timestep@3 223792: Emotional Support_value_1.0,-0.055422950628845884
"timestep@2 Weight_value_(72.0, 82.0]",-0.055379848292044676
timestep@0 223782: None_value_1.0,-0.05529117415119655
"timestep@2 223770_value_(-92.001, 90.0]",-0.055094152047696805
timestep@3 DiaBP_mask,-0.05508547356544423
timestep@0 224850_value_None,-0.055011642908871713
timestep@3 227969: Call light within reach_value_1.0,-0.05500862979565358
"timestep@0 50912_value_(0.9, 1.2]",-0.05487915933565256
timestep@0 227969: Bed locked in low position_value_1.0,-0.05485150189172629
timestep@1 225059: Anemia_value_1.0,-0.05482507631004513
timestep@3 223795_value_Non-verbal Cues,-0.05466700901038015
"timestep@1 DiaBP_mean_(68.0, 78.0]",-0.054623781720926634
timestep@3 SysBP_mask,-0.05448597786839731
timestep@0 228398_value_Close eyes,-0.05447353733528994
"timestep@0 226361_Amount_value_(4000.0, 16660.0]",-0.05445783432255303
timestep@2 224073: Plan of Care_value_1.0,-0.05441108653002185
timestep@0 224054_value_Slight Impairment,-0.05441032622388403
timestep@0 223907_value_2mm,-0.05428901961539357
"timestep@3 SysBP_mean_(127.0, 142.0]",-0.0539206585839226
"timestep@1 50868_value_(15.0, 18.0]",-0.05385958816528538
MARITAL_STATUS_value:DIVORCED,-0.053839557201817434
timestep@3 224026_value_Impaired,-0.05383533386845819
"timestep@3 50970_value_(3.2, 3.7]",-0.0537944235567939
timestep@2 226364_value_1.0,-0.05365352610044747
"timestep@2 50971_value_(1.999, 3.6]",-0.053643649200292146
"timestep@3 RR_max_(-0.001, 15.0]",-0.05358002255680215
timestep@2 223795_value_Patient Verbalized,-0.05335740505361378
timestep@0 224785_value_Salem Sump,-0.05335151577139151
"timestep@0 220047_value_(4.999, 50.0]",-0.05323457519025213
timestep@1 225072_value_Other,-0.05316486199159319
timestep@2 224056_value_Walks Occasionally,-0.05307033842127733
timestep@3 223947_value_Easily Palpable,-0.05300982786455312
timestep@1 223792: Emotional Support_value_1.0,-0.05300861553985424
timestep@0 224642_value_Oral,-0.05295130255805102
timestep@0 224851_value_1.0,-0.052940534214278696
"timestep@2 SpO2_min_(99.0, 1000.0]",-0.05291395205550642
timestep@1 223936_value_Easily Palpable,-0.05270088103146365
"timestep@3 226559_value_(240.0, 4000.0]",-0.0525762329602848
timestep@0 224851: Dry and intact_value_1.0,-0.05248762192914389
timestep@1 227687_value_Never used,-0.05243642810202245
timestep@0 224082: Turns by Self_value_1.0,-0.05234190057513254
"timestep@0 Weight_value_(-0.001, 61.6]",-0.05219089498749044
"timestep@3 RR_value_(15.0, 17.0]",-0.052002813616063785
timestep@0 223919_value_Moves on Bed,-0.0518953891863856
timestep@0 227088_value_Outside facility,-0.05185119847423712
timestep@1 223783: Chest Pain_value_1.0,-0.0517049418242056
timestep@1 228401_value_No,-0.0516313707237352
timestep@1 226452_value_1.0,-0.05161387460779097
"timestep@3 RR_mean_(17.333, 20.0]",-0.0515501297632402
timestep@0 227700: Call light within reach_value_1.0,-0.05135759806904834
"timestep@3 HR_value_(70.0, 80.0]",-0.05135530900760883
"timestep@0 225185_value_(-0.001, 1.0]",-0.0513269673603771
timestep@3 225975_value_1.0,-0.05123856183365586
"timestep@3 220074_value_(-34.001, 5.0]",-0.05123027642746863
timestep@3 221662_value_1.0,-0.05119867334503813
timestep@2 223781_value_No,-0.051110297188576896
timestep@3 225158_value_1.0,-0.05108046156582535
timestep@3 224650_value_1.0,-0.05098908073683421
"timestep@2 225185_value_(-0.001, 1.0]",-0.050974291418812046
"timestep@1 220949_Rate_value_(0.192, 0.333]",-0.05095037303480031
"timestep@1 225129_value_(-0.001, 1.0]",-0.0509145453464891
timestep@3 224259_value_None,-0.05087605094919179
timestep@0 228306: Supervised_value_1.0,-0.05081502005711715
"timestep@1 SpO2_max_(95.0, 97.0]",-0.050804396565713
timestep@2 224001: Clear liquid_value_1.0,-0.050713066127092275
timestep@0 225469_value_1.0,-0.05056843079209869
timestep@1 227969: Hazard-free environment_value_1.0,-0.050566295820520656
timestep@0 226363_value_1.0,-0.05051054622511383
timestep@3 224003: Soft Distended_value_1.0,-0.050477941658470096
timestep@2 223784: At Rest_value_1.0,-0.05047600710521018
timestep@0 223904_value_Impaired,-0.05047600465500472
"timestep@2 50902_value_(66.999, 99.0]",-0.05047187149421379
"timestep@2 51222_value_(11.1, 12.5]",-0.050348636860132565
"timestep@2 225158_Amount_value_(5.2989999999999995, 500.0]",-0.050321621040144864
"timestep@3 225092_value_(-0.001, 1.0]",-0.0502470347492676
"timestep@1 51006_value_(12.0, 18.0]",-0.049957308976628166
"timestep@2 225152_Rate_value_(24.178, 691.246]",-0.049930877413828435
timestep@2 223967_value_R Femoral,-0.0497558095050478
"timestep@2 HR_max_(105.0, 941.0]",-0.049753044354358886
timestep@1 224026_value_Intact,-0.04971762087192391
"timestep@0 226559_value_(125.0, 240.0]",-0.049551194517698946
"timestep@0 50960_value_(1.6, 1.8]",-0.049323114881870266
timestep@3 226732: Nasal cannula_value_1.0,-0.049313984813201296
timestep@3 224848: Not assessed_value_1.0,-0.04916617198179434
timestep@0 223898_value_Oriented x2,-0.04916553325302107
timestep@0 224040_value_1.0,-0.049134845323905246
timestep@1 227780_value_Dry and intact,-0.04912710313080226
"timestep@1 RR_min_(17.0, 19.0]",-0.0488517733795941
"timestep@2 RR_value_(20.0, 24.0]",-0.048829811545973066
timestep@2 224059_value_Problem,-0.04881350036683511
timestep@1 223921: Not Indicated_value_1.0,-0.04873062854967742
"timestep@0 220052_value_(70.0, 79.0]",-0.04870395125706354
"timestep@2 227349_value_(-0.001, 1.0]",-0.04866050765932702
timestep@1 224642_value_Oral,-0.048510375802437763
timestep@0 223989_value_Crackles,-0.04825711269264671
timestep@2 225231_value_1.0,-0.04820136157098353
timestep@2 224007_value_Abdomen,-0.04812297209083353
timestep@1 223258_InputRoute: Continuous Med_value_1.0,-0.04804405242129114
"timestep@1 225133_value_(-0.001, 1.0]",-0.04800633360680239
timestep@3 223947_value_Weak Palpable,-0.04797803478775458
timestep@0 227700: Bed alarm activated_value_1.0,-0.047912464690892255
timestep@3 225099: Intact_value_1.0,-0.047835732515046844
timestep@3 224016_value_Amber,-0.04782418732528487
"timestep@2 225168_Rate_value_(3.333, 5.0]",-0.047812397435671984
timestep@3 224038: None-Open to Air_value_1.0,-0.04778930828866591
"timestep@2 220949_Amount_value_(49.999, 100.0]",-0.047780962229062196
timestep@0 225059: Anemia_value_1.0,-0.047771421238896404
timestep@2 224057_value_Slight Limitations,-0.047719844187050484
"timestep@1 50960_value_(0.299, 1.6]",-0.04768666471125851
timestep@0 224733_value_2mm,-0.04765750658750485
timestep@1 223990_value_Normal,-0.04752528980258601
timestep@2 223999: Teeth/Tissue WNL_value_1.0,-0.04749136908189313
timestep@0 228395_value_Both,-0.047488251686989454
"timestep@3 226889_value_(-0.001, 1.0]",-0.04746801906029645
"timestep@0 DiaBP_mean_(78.0, 16565.5]",-0.04736929436590499
"timestep@1 220181_value_(81.0, 92.0]",-0.047313456633849664
timestep@0 225158_InputRoute: Continuous Med_value_1.0,-0.04730372782756491
"timestep@0 50893_value_(7.6, 8.1]",-0.04723743784681225
timestep@0 223991: None_value_1.0,-0.04722866746698369
timestep@0 227969: Call light within reach_value_1.0,-0.047222620763519504
timestep@2 225054: Off_value_1.0,-0.047205078257538585
"timestep@2 226559_value_(80.0, 125.0]",-0.0471144269892228
RELIGION_value:PROTESTANT QUAKER,-0.047097355010506846
"timestep@3 50960_value_(2.0, 2.2]",-0.047064023801965386
"timestep@0 50868_value_(15.0, 18.0]",-0.04699483103052963
"timestep@3 50868_value_(13.0, 15.0]",-0.04696591202600992
timestep@1 224730_value_Intact,-0.0467103682235605
"timestep@1 225158_Rate_value_(2.083, 300.942]",-0.04667875936467433
"timestep@0 225158_Rate_value_(2.083, 300.942]",-0.04662166771397122
INSURANCE_value:Medicare,-0.04640372678461198
timestep@3 225135: Nutrition_value_1.0,-0.04632495498310351
"timestep@2 DiaBP_mean_(60.333, 68.0]",-0.0463025878341328
timestep@2 223924_value_Intact,-0.04620406630386301
timestep@0 223905_value_Impaired,-0.04619565408727684
timestep@0 224848: Not assessed_value_1.0,-0.04615639953419939
timestep@1 50920_value_See Comments,-0.04602401860640275
"timestep@2 DiaBP_min_(77.0, 6657.0]",-0.04600250540781596
"timestep@1 50912_value_(0.099, 0.7]",-0.04591495304930149
timestep@2 220048: AF (Atrial Fibrillation)_value_1.0,-0.04575064024888488
"timestep@0 225126_value_(-0.001, 1.0]",-0.045720813955506014
timestep@3 223919_value_Normal strength,-0.04560711126129883
"timestep@2 RR_mean_(17.333, 20.0]",-0.04559358845904423
"timestep@3 220181_value_(-0.001, 65.0]",-0.045563963909587335
timestep@1 224076: Altered LOC_value_1.0,-0.04547433079215162
"timestep@0 226180_value_(-0.001, 1.0]",-0.0454444552631554
timestep@3 225884_Dose_value_1.0,-0.04529919921199448
timestep@3 225884_value_1.0,-0.04529919921199448
timestep@2 225811: CVA_value_1.0,-0.045290729044852575
timestep@1 223791_value_Mild to Moderate,-0.045281824833383076
timestep@0 224057_value_No Limitations,-0.045241630752892066
"timestep@3 50893_value_(9.0, 16.4]",-0.04518839167958932
"timestep@1 220052_value_(70.0, 79.0]",-0.045175523794189466
timestep@2 223792: Repositioned_value_1.0,-0.04517379094015424
"timestep@3 225129_value_(-0.001, 1.0]",-0.04513786171952479
timestep@1 227088_value_Procedure room/Clinic,-0.04512764807439673
"timestep@1 Height_value_(-0.001, 160.0]",-0.045108231453547094
timestep@0 224289: WNL_value_1.0,-0.04506675823710878
"timestep@3 51006_value_(1.999, 12.0]",-0.04502286265265985
timestep@2 223784_value_1.0,-0.045022304040871236
timestep@2 226105: Appropriate_value_1.0,-0.044998492854142466
timestep@2 224028_value_Normal for Race,-0.044931020039552634
"timestep@0 223769_value_(-0.001, 100.0]",-0.044924037783101445
timestep@1 223783: Not Indicated_value_1.0,-0.04491474031989743
timestep@1 228399_value_No,-0.044902877276177776
timestep@0 227988_value_No,-0.044822528920912555
timestep@1 227378_value_CC6D,-0.044775845925110254
"timestep@2 225078_value_(-0.001, 1.0]",-0.04475139729163763
"timestep@2 227969: Quiet, calm space_value_1.0",-0.0447265505841262
timestep@0 220739_value_To Speech,-0.04472175014054709
"timestep@2 50970_value_(2.6, 3.2]",-0.044684012698251
timestep@1 227668_value_3 rails up,-0.04458819495260431
timestep@2 224851_value_1.0,-0.044427200466748064
"timestep@0 224162_value_(-0.001, 8.0]",-0.04439451768370728
timestep@0 224640_value_MICU,-0.04430605944022529
timestep@2 223795_value_Non-verbal Cues,-0.04429748177604583
timestep@2 223791_value_Mild ,-0.04429330765656452
ETHNICITY_value:HISPANIC OR LATINO,-0.044289821652123106
LANGUAGE_value:SPAN,-0.04423934884516697
timestep@1 223918_value_Moves on Bed,-0.04422027768849893
"timestep@3 223770_value_(90.0, 92.0]",-0.04419331889102761
timestep@2 224785_value_PEG,-0.04399619432511921
"timestep@0 50970_value_(0.199, 2.6]",-0.04395504367674345
timestep@1 224930_value_1.0,-0.043933858421283715
timestep@1 224023: Friend_value_1.0,-0.04382929688335016
timestep@2 223792: Backrub_value_1.0,-0.04380050572187672
"timestep@1 DiaBP_min_(67.0, 77.0]",-0.043720473412708655
timestep@2 224848: Not assessed_value_1.0,-0.04366817702787057
"timestep@0 Weight_value_(82.0, 95.9]",-0.04352964609928318
timestep@3 223780: No/Not Sedated_value_1.0,-0.043270834876705765
"timestep@3 227366_value_(-0.001, 1.0]",-0.04324819160408
"timestep@3 50931_value_(138.0, 180.0]",-0.04323223666162576
"timestep@0 RR_min_(17.0, 19.0]",-0.04319936646865815
timestep@0 223900_value_Oriented,-0.0431871954890998
timestep@0 228397_value_Consistently,-0.04317588938334996
timestep@1 224023: Many Supports_value_1.0,-0.04315013151707894
timestep@0 228394_value_Both,-0.04314348646644836
timestep@2 224762_value_Intact,-0.043006237075872304
timestep@0 223784_value_1.0,-0.04288235152206204
"timestep@0 Temperature_value_(36.5, 36.833]",-0.04284635956633857
timestep@0 224024: Family Talked to MD_value_1.0,-0.042834330996073464
"timestep@0 50882_value_(4.999, 20.0]",-0.04282013860883441
timestep@0 227378_value_CC6D,-0.042775906975561946
timestep@2 228399_value_No,-0.04276624239019138
timestep@1 224082: Turns by Self_value_1.0,-0.04247186945864769
"timestep@2 51006_value_(1.999, 12.0]",-0.04237918114242746
"timestep@2 226633_value_(350.0, 600.0]",-0.042365270746981536
timestep@1 224959_value_1.0,-0.042347534911204555
"timestep@0 51244_value_(11.7, 18.7]",-0.04227665091610225
timestep@1 220739_value_To Pain,-0.042221856666536335
"timestep@2 50970_value_(3.2, 3.7]",-0.042215548135732354
timestep@1 224088: None_value_1.0,-0.04218229087433125
timestep@2 224848_value_1.0,-0.042173379114424384
"timestep@3 51222_value_(11.1, 12.5]",-0.04212211772610559
"timestep@2 220056_value_(-0.001, 90.0]",-0.04207256431414874
"timestep@1 226452_Amount_value_(9.999, 100.0]",-0.041992992824973464
"timestep@2 HR_max_(-0.001, 71.0]",-0.04198326828911932
"timestep@1 51146_value_(0.4, 6.0]",-0.04198310058550846
timestep@0 224042_value_Dry Sterile Dressing,-0.04189994292944468
timestep@1 223781_value_No,-0.04189145895504585
"timestep@3 220046_value_(120.0, 130120.0]",-0.041873228879100326
timestep@1 228400_value_No,-0.041860199011081026
timestep@1 225097: Not assessed_value_1.0,-0.04182744011360532
timestep@2 224937: Dry Sterile Dressing_value_1.0,-0.041743655318825686
"timestep@2 228099_value_(-0.001, 1.0]",-0.041731103712323324
"timestep@0 Temperature_value_(37.222, 525.556]",-0.04171984763349193
"timestep@3 SpO2_value_(96.0, 98.0]",-0.04167771378081891
"timestep@0 226107_value_(-0.001, 1.0]",-0.041649787372336856
timestep@2 223990_value_Normal,-0.04158410711209901
"timestep@3 225152_Rate_value_(24.178, 691.246]",-0.0414517342367878
"timestep@2 226452_Amount_value_(240.0, 4000.0]",-0.041392145416862994
timestep@1 224042_value_Dry Sterile Dressing,-0.04135930512620079
timestep@1 225120: Good_value_1.0,-0.04129464464242143
"timestep@0 50885_value_(0.9, 2.2]",-0.04123310630235544
"timestep@0 227292_value_(-0.001, 1.0]",-0.041231607345177855
timestep@1 223792_value_1.0,-0.041216958656082756
"timestep@3 50912_value_(0.099, 0.7]",-0.04117694450215381
timestep@1 223920_value_Lifts and Holds,-0.041168453672745936
timestep@3 223784: Incisional_value_1.0,-0.041156111817776904
"timestep@1 DiaBP_max_(80.0, 66106.0]",-0.04114019343851234
timestep@0 224847_value_None,-0.04110386744082428
timestep@3 227969: Adequate lighting_value_1.0,-0.04104582451664029
timestep@3 227088_value_ED,-0.04102179550234541
"timestep@0 51144_value_(-0.001, 1.0]",-0.041012716544399586
"timestep@0 50824_value_(108.999, 133.0]",-0.04097771269498361
timestep@0 224079_value_Understands,-0.040912665140771444
timestep@1 224650: PAC's_value_1.0,-0.040857590743477015
timestep@2 224023: Children_value_1.0,-0.040808666251319986
timestep@2 224007_value_Left Nare,-0.040735218976285764
timestep@1 220048: V Paced_value_1.0,-0.0406864399089761
timestep@1 225135: Social Work_value_1.0,-0.04065197712650864
timestep@1 224038: Dry Sterile Dressing_value_1.0,-0.0406250175248424
timestep@0 224080_value_15 Degrees,-0.04060880228988781
timestep@3 223791_value_Severe to Worse,-0.04060051623183066
